session,session_date,bar,enter_price,action,take_profit,start_index,end_index,entry_index,start_time,end_time,entry_time,length,tp_hit,tp_hit_index,tp_hit_time,exit_price,exit_time,exit_reason,profit,loss,max_drawdown_ticks,max_drawdown_price,max_drawdown_index,max_drawdown_time
eth_full,2025-01-27,red,2768.7,long,2778.1,0,4,5,2025-01-26 18:00:00-05:00,2025-01-26 18:04:00-05:00,2025-01-26 18:05:00-05:00,5,0,,,2744.0,2025-01-27 16:50:00-05:00,session_end,0.0,2469.999999999982,3669.999999999982,2732.0,1092,2025-01-27 12:12:00-05:00
eth_full,2025-01-28,green,2742.9,short,2742.4,0,2,3,2025-01-27 18:00:00-05:00,2025-01-27 18:02:00-05:00,2025-01-27 18:03:00-05:00,3,1,18.0,2025-01-27 18:18:00-05:00,2742.4,2025-01-27 18:18:00-05:00,take_profit,50.0,0.0,200.0,2744.9,7,2025-01-27 18:07:00-05:00
eth_full,2025-01-30,red,2771.5,long,2772.5,0,4,5,2025-01-29 18:00:00-05:00,2025-01-29 18:04:00-05:00,2025-01-29 18:05:00-05:00,5,1,35.0,2025-01-29 19:06:00-05:00,2772.5,2025-01-29 19:06:00-05:00,take_profit,100.0,0.0,9.999999999990905,2771.4,5,2025-01-29 18:05:00-05:00
eth_full,2025-02-04,red,2848.7,long,2850.4,0,1,2,2025-02-03 18:00:00-05:00,2025-02-03 18:01:00-05:00,2025-02-03 18:02:00-05:00,2,1,52.0,2025-02-03 18:52:00-05:00,2850.4,2025-02-03 18:52:00-05:00,take_profit,170.00000000002728,0.0,239.99999999996362,2846.3,14,2025-02-03 18:14:00-05:00
eth_full,2025-02-05,green,2872.6,short,2872.5,3,6,7,2025-02-04 18:03:00-05:00,2025-02-04 18:06:00-05:00,2025-02-04 18:07:00-05:00,4,1,7.0,2025-02-04 18:07:00-05:00,2872.5,2025-02-04 18:07:00-05:00,take_profit,9.999999999990905,0.0,9.999999999990905,2872.7,7,2025-02-04 18:07:00-05:00
eth_full,2025-02-07,green,2880.0,short,2879.9,1,2,3,2025-02-06 18:01:00-05:00,2025-02-06 18:02:00-05:00,2025-02-06 18:03:00-05:00,2,1,3.0,2025-02-06 18:03:00-05:00,2879.9,2025-02-06 18:03:00-05:00,take_profit,9.999999999990905,0.0,40.000000000009095,2880.4,3,2025-02-06 18:03:00-05:00
eth_full,2025-02-10,green,2884.8,short,2881.9,1,2,3,2025-02-09 18:01:00-05:00,2025-02-09 18:02:00-05:00,2025-02-09 18:03:00-05:00,2,0,,,2936.0,2025-02-10 16:50:00-05:00,session_end,0.0,5119.999999999982,5329.999999999973,2938.1,1000,2025-02-10 10:40:00-05:00
eth_full,2025-02-11,green,2939.4,short,2937.0,0,3,4,2025-02-10 18:00:00-05:00,2025-02-10 18:03:00-05:00,2025-02-10 18:04:00-05:00,4,1,220.0,2025-02-10 21:40:00-05:00,2937.0,2025-02-10 21:40:00-05:00,take_profit,240.0000000000091,0.0,2909.999999999991,2968.5,196,2025-02-10 21:16:00-05:00
eth_full,2025-02-12,green,2926.7,short,2925.9,1,3,4,2025-02-11 18:01:00-05:00,2025-02-11 18:03:00-05:00,2025-02-11 18:04:00-05:00,3,1,63.0,2025-02-11 19:03:00-05:00,2925.9,2025-02-11 19:03:00-05:00,take_profit,79.99999999997272,0.0,120.00000000002728,2927.9,20,2025-02-11 18:20:00-05:00
eth_full,2025-02-13,green,2929.8,short,2928.8,0,1,2,2025-02-12 18:00:00-05:00,2025-02-12 18:01:00-05:00,2025-02-12 18:02:00-05:00,2,1,20.0,2025-02-12 18:20:00-05:00,2928.8,2025-02-12 18:20:00-05:00,take_profit,100.0,0.0,29.999999999972715,2930.1,2,2025-02-12 18:02:00-05:00
eth_full,2025-02-14,red,2957.4,long,2958.5,1,2,3,2025-02-13 18:01:00-05:00,2025-02-13 18:02:00-05:00,2025-02-13 18:03:00-05:00,2,1,22.0,2025-02-13 18:22:00-05:00,2958.5,2025-02-13 18:22:00-05:00,take_profit,109.9999999999909,0.0,120.00000000002728,2956.2,9,2025-02-13 18:09:00-05:00
eth_full,2025-02-17,green,2901.3,short,2895.1,0,4,5,2025-02-16 18:00:00-05:00,2025-02-16 18:04:00-05:00,2025-02-16 18:05:00-05:00,5,1,23.0,2025-02-16 18:23:00-05:00,2895.1,2025-02-16 18:23:00-05:00,take_profit,620.0000000000273,0.0,279.9999999999727,2904.1,5,2025-02-16 18:05:00-05:00
eth_full,2025-02-18,green,2911.5,short,2911.2,2,3,4,2025-02-17 18:02:00-05:00,2025-02-17 18:03:00-05:00,2025-02-17 18:04:00-05:00,2,1,4.0,2025-02-17 18:04:00-05:00,2911.2,2025-02-17 18:04:00-05:00,take_profit,30.00000000001819,0.0,9.999999999990905,2911.6,4,2025-02-17 18:04:00-05:00
eth_full,2025-02-19,green,2954.5,short,2954.0,1,2,3,2025-02-18 18:01:00-05:00,2025-02-18 18:02:00-05:00,2025-02-18 18:03:00-05:00,2,1,9.0,2025-02-18 18:09:00-05:00,2954.0,2025-02-18 18:09:00-05:00,take_profit,50.0,0.0,50.0,2955.0,5,2025-02-18 18:05:00-05:00
eth_full,2025-02-20,green,2950.4,short,2949.5,0,1,2,2025-02-19 18:00:00-05:00,2025-02-19 18:01:00-05:00,2025-02-19 18:02:00-05:00,2,1,31.0,2025-02-19 18:31:00-05:00,2949.5,2025-02-19 18:31:00-05:00,take_profit,90.0000000000091,0.0,129.99999999997272,2951.7,21,2025-02-19 18:21:00-05:00
eth_full,2025-02-21,green,2956.3,short,2955.6,1,2,3,2025-02-20 18:01:00-05:00,2025-02-20 18:02:00-05:00,2025-02-20 18:03:00-05:00,2,1,4.0,2025-02-20 18:04:00-05:00,2955.6,2025-02-20 18:04:00-05:00,take_profit,70.00000000002728,0.0,29.999999999972715,2956.6,3,2025-02-20 18:03:00-05:00
eth_full,2025-02-24,green,2953.1,short,2948.9,1,4,5,2025-02-23 18:01:00-05:00,2025-02-23 18:04:00-05:00,2025-02-23 18:05:00-05:00,4,1,85.0,2025-02-23 19:25:00-05:00,2948.9,2025-02-23 19:25:00-05:00,take_profit,419.9999999999818,0.0,230.0000000000182,2955.4,18,2025-02-23 18:18:00-05:00
