session,session_date,bar,enter_price,action,take_profit,start_index,end_index,entry_index,start_time,end_time,entry_time,length,tp_hit,tp_hit_index,tp_hit_time,exit_price,exit_time,exit_reason,profit,loss,max_drawdown_ticks,max_drawdown_price,max_drawdown_index,max_drawdown_time
post_rth,2025-01-28,green,2770.4,short,2767.4,0,8,9,2025-01-28 13:30:00-05:00,2025-01-28 13:38:00-05:00,2025-01-28 13:39:00-05:00,9,0,,,2771.2,2025-01-28 16:50:00-05:00,session_end,0.0,79.99999999997272,359.9999999999909,2774.0,40,2025-01-28 14:10:00-05:00
post_rth,2025-01-29,red,2769.1,long,2769.5,2,4,5,2025-01-29 13:32:00-05:00,2025-01-29 13:34:00-05:00,2025-01-29 13:35:00-05:00,3,1,10.0,2025-01-29 13:40:00-05:00,2769.5,2025-01-29 13:40:00-05:00,take_profit,40.000000000009095,0.0,109.9999999999909,2768.0,8,2025-01-29 13:38:00-05:00
post_rth,2025-01-30,red,2822.5,long,2822.9,0,1,2,2025-01-30 13:30:00-05:00,2025-01-30 13:31:00-05:00,2025-01-30 13:35:00-05:00,2,1,12.0,2025-01-30 13:57:00-05:00,2822.9,2025-01-30 13:57:00-05:00,take_profit,40.000000000009095,0.0,90.0000000000091,2821.6,11,2025-01-30 13:55:00-05:00
post_rth,2025-01-31,red,2832.5,long,2835.4,0,3,4,2025-01-31 13:30:00-05:00,2025-01-31 13:33:00-05:00,2025-01-31 13:34:00-05:00,4,1,5.0,2025-01-31 13:35:00-05:00,2835.4,2025-01-31 13:35:00-05:00,take_profit,290.0000000000091,0.0,90.0000000000091,2831.6,4,2025-01-31 13:34:00-05:00
post_rth,2025-02-03,green,2858.6,short,2856.3,1,2,3,2025-02-03 13:31:00-05:00,2025-02-03 13:32:00-05:00,2025-02-03 13:33:00-05:00,2,1,9.0,2025-02-03 13:39:00-05:00,2856.3,2025-02-03 13:39:00-05:00,take_profit,229.99999999997272,0.0,59.999999999990905,2859.2,3,2025-02-03 13:33:00-05:00
post_rth,2025-02-04,red,2874.9,long,2875.4,0,1,2,2025-02-04 13:30:00-05:00,2025-02-04 13:31:00-05:00,2025-02-04 13:32:00-05:00,2,1,3.0,2025-02-04 13:33:00-05:00,2875.4,2025-02-04 13:33:00-05:00,take_profit,50.0,0.0,20.000000000027285,2874.7,2,2025-02-04 13:32:00-05:00
post_rth,2025-02-05,green,2893.6,short,2893.0,0,2,3,2025-02-05 13:30:00-05:00,2025-02-05 13:32:00-05:00,2025-02-05 13:33:00-05:00,3,1,4.0,2025-02-05 13:34:00-05:00,2893.0,2025-02-05 13:34:00-05:00,take_profit,59.999999999990905,0.0,59.999999999990905,2894.2,3,2025-02-05 13:33:00-05:00
post_rth,2025-02-06,red,2875.0,long,2877.0,0,3,4,2025-02-06 13:30:00-05:00,2025-02-06 13:33:00-05:00,2025-02-06 13:34:00-05:00,4,1,13.0,2025-02-06 13:43:00-05:00,2877.0,2025-02-06 13:43:00-05:00,take_profit,200.0,0.0,19.99999999998181,2874.8,4,2025-02-06 13:34:00-05:00
post_rth,2025-02-10,green,2935.0,short,2934.6,0,4,5,2025-02-10 13:30:00-05:00,2025-02-10 13:34:00-05:00,2025-02-10 13:35:00-05:00,5,1,6.0,2025-02-10 13:36:00-05:00,2934.6,2025-02-10 13:36:00-05:00,take_profit,40.000000000009095,0.0,69.99999999998181,2935.7,5,2025-02-10 13:35:00-05:00
post_rth,2025-02-11,green,2933.4,short,2932.8,0,2,3,2025-02-11 13:30:00-05:00,2025-02-11 13:32:00-05:00,2025-02-11 13:33:00-05:00,3,1,4.0,2025-02-11 13:34:00-05:00,2932.8,2025-02-11 13:34:00-05:00,take_profit,59.999999999990905,0.0,69.99999999998181,2934.1,3,2025-02-11 13:33:00-05:00
